taxonid,fullname,currentAuthor,suggestedAuthor,source
3073,Drillia latisulcus,"K.H. Barnard, 1958","Barnard, 1958",Catalogue of Life
3074,Drillia layardi,"G.B. III Sowerby, 1897","(G. B. Sowerby III, 1897)",Catalogue of Life
3075,Drillia lignaria,"(G.B. III Sowerby, 1903)","(G. B. Sowerby III, 1903)",Catalogue of Life
3076,Drupa albolabris,"H.M.D. de Blainville, 1832","(Blainville, 1832)",Catalogue of Life
3084,Drupa fusca,"H.C. Küster, 1862",,
3086,Drupa grossularia,"(P.F. Röding, 1798)","Röding, 1798",Catalogue of Life
3087,Drupa lobata,"(H.M.D. de Blainville, 1832)","(Blainville, 1832)",Catalogue of Life
3088,Drupa margariticola,"W.J. Broderip in W.J. Broderip & G.B. I Sowerby, 1833","(Broderip in Broderip & Sowerby, 1833)",Catalogue of Life
3089,Drupa marginatra,"H.M.D. de Blainville, 1832","(Blainville, 1832)",Catalogue of Life
3090,Drupa morum,"P.F. Röding, 1798","Röding, 1798",Catalogue of Life
3091,Drupa mutica,"J.B.P.A. Lamarck, 1816","(Lamarck, 1816)",Catalogue of Life
3094,Drupa ricinus,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
3095,Drupa rubusidaeus,"P.F. Röding, 1798","Röding, 1798",Catalogue of Life
3098,Drupella cornus,"(P.F. Röding, 1798)","(Röding, 1798)",Catalogue of Life
3101,Drupella ochrostoma,"W. Wood, 1828","(Wood, 1828)",Catalogue of Life
3103,Drymaeus dormani,"W.G. Binney, 1857","(W. G. Binney, 1857)",Catalogue of Life
3104,Duplicaria bernardii,"(Deshayes, 1857)","(Deshayes, 1857)",Catalogue of Life
3106,Duplicaria duplicata,"Lamarck, 1822","(Linnaeus, 1758)",Catalogue of Life
3108,Duplicaria evoluta,"(G.P. Deshayes, 1859)","(Deshayes, 1859)",Catalogue of Life
3109,Duplicaria fictilis,"(R.B. Hinds, 1844)","(Hinds, 1845)",Catalogue of Life
3110,Duplicaria mozambiquensis,"T. Bratcher & W.O. Cernohorsky, 1982","Bratcher & Cernohorsky, 1982",Catalogue of Life
3111,Duplicaria vallesia,"C. Hedley, 1912","Hedley, 1912",Catalogue of Life
3112,Eastonia solanderi,"(J.E. Gray, 1837) †","(J. E. Gray, 1837)",Catalogue of Life
3113,Eatoniella nigra,"(D'Orbigny, 1840)","(d'Orbigny, 1840)",Catalogue of Life
3115,Edouardia arenicola,"W.H. Benson, 1856","(Benson, 1856)",Catalogue of Life
3116,Edouardia carinifera,"J.C. Melvill & J.H. Ponsonby, 1897","(Melvill & Ponsonby, 1897)",Catalogue of Life
3117,Edouardia natalensis,"(L. Pfeiffer, 1846)","(F. Krauss in L. Pfeiffer, 1846)",Catalogue of Life
