taxonid,fullname,Author,source
2582,Conus ione,"Fulton, 1938",Catalogue of Life
2583,Conus janus,"Hwass in Bruguière, 1792",Catalogue of Life
2586,Conus legatus,"Lamarck, 1810",Catalogue of Life
2588,Conus litoglyphus,"Hwass in Bruguière, 1792",Catalogue of Life
2589,Conus litteratus,"Linnaeus, 1758",Catalogue of Life
2590,Conus lividus,"Hwass in Bruguière, 1792",Catalogue of Life
2591,Conus lohri,"Kilburn, 1972",Catalogue of Life
2592,Conus magnificus,"Reeve, 1843",Catalogue of Life
2594,Conus maldivus,"Hwass in Bruguière, 1792",Catalogue of Life
2596,Conus miles,"Linnaeus, 1758",Catalogue of Life
2597,Conus miliaris,"Hwass in Bruguière, 1792",Catalogue of Life
2598,Conus milneedwardsi,"Jousseaume, 1894",Catalogue of Life
2600,Conus monachus,"Linnaeus, 1758",Catalogue of Life
2601,Conus monile,"Hwass in Bruguière, 1792",Catalogue of Life
2602,Conus mozambicus,"Hwass in Bruguière, 1792",Catalogue of Life
2603,Conus muriculatus,"G. B. Sowerby I, 1833",Catalogue of Life
2604,Conus mus,"Hwass in Bruguière, 1792",Catalogue of Life
2605,Conus musicus,"Hwass in Bruguière, 1792",Catalogue of Life
2606,Conus mustelinus,"Hwass in Bruguière, 1792",Catalogue of Life
2607,Conus namocanus,"Hwass in Bruguière, 1792",Catalogue of Life
2608,Conus natalis,"G. B. Sowerby II, 1858",Catalogue of Life
2609,Conus nimbosus,"Hwass in Bruguière, 1792",Catalogue of Life
2610,Conus nussatella,"Linnaeus, 1758",Catalogue of Life
2612,Conus orbignyi,"Audouin, 1831",Catalogue of Life
2613,Conus papilliferus,"G. B. Sowerby I, 1834",Catalogue of Life
2615,Conus patricius,"Hinds, 1843",Catalogue of Life
2618,Conus perplexus,"G. B. Sowerby II, 1857",Catalogue of Life
2619,Conus philippii,"Kiener, 1847",Catalogue of Life
2620,Conus pictus,"Reeve, 1843",Catalogue of Life
2621,Conus platyaulax,,
2623,Conus pulcher,"A. Adams, 1854",Catalogue of Life
2624,Conus pulicarius,"Hwass in Bruguière, 1792",Catalogue of Life
2625,Conus puncticulatus,"Hwass in Bruguière, 1792",Catalogue of Life
2626,Conus purpurascens,"G. B. Sowerby I, 1833",Catalogue of Life
2629,Conus rattus,"Hwass in Bruguière, 1792",Catalogue of Life
2631,Conus retifer,"Menke, 1829",Catalogue of Life
2632,Conus sanguinolentus,"Quoy & Gaimard, 1834",Catalogue of Life
2634,Conus scalptus,"Reeve, 1843",Catalogue of Life
2635,Conus scittulus,,
2637,Conus sennottorum,"Rehder & Abbott, 1951",Catalogue of Life
2638,Conus sieboldii,"Reeve, 1848",Catalogue of Life
2639,Conus simplex,"G. B. Sowerby II, 1858",Catalogue of Life
2640,Conus sponsalis,"Hwass in Bruguière, 1792",Catalogue of Life
2642,Conus stearnsii,"Conrad, 1869",Catalogue of Life
2644,Conus striatus,"Linnaeus, 1758",Catalogue of Life
2647,Conus suturatus,"Reeve, 1844",Catalogue of Life
2648,Conus teramachii,"(Kuroda, 1956)",Catalogue of Life
2649,Conus tessulatus,"Born, 1778",Catalogue of Life
2650,Conus textile,"Linnaeus, 1758",Catalogue of Life
2652,Conus tinianus,"Hwass in Bruguière, 1792",Catalogue of Life
